 Taegu Pyungkwang River Catchment:  Calibration Data                             
 Starting Subcatchment     1
 Subcatchment : Extracted study basin: Taegu Pyungkwang River                                   
 TL =     5.45
SUMAC =     1.00
 SZQ   0.63446E+00
 SUBCATCHMENT ROUTING DATA
 Maximum Routing Delay   0.41667E+00
 Sum of histogram ordinates      1.0000
  0.10000E+01
 Initial Balance BAL -0.31784E+00
 Initial SBAR         0.31584E+00
 Initial SR0          0.20000E-02
   it       p        ep       q(it)       quz      q       sbar       qof
  203 0.000E+00 0.000E+00 0.833E-04 0.427E-07 0.833E-04 0.286E+00 0.000E+00
  204 0.000E+00 0.000E+00 0.830E-04 0.400E-07 0.830E-04 0.286E+00 0.000E+00
  205 0.000E+00 0.000E+00 0.828E-04 0.366E-07 0.828E-04 0.286E+00 0.000E+00
  206 0.000E+00 0.000E+00 0.826E-04 0.343E-07 0.826E-04 0.286E+00 0.000E+00
  207 0.000E+00 0.000E+00 0.824E-04 0.322E-07 0.824E-04 0.286E+00 0.000E+00
  208 0.000E+00 0.000E+00 0.822E-04 0.301E-07 0.822E-04 0.287E+00 0.000E+00
  209 0.000E+00 0.000E+00 0.820E-04 0.282E-07 0.820E-04 0.287E+00 0.000E+00
  210 0.000E+00 0.000E+00 0.818E-04 0.265E-07 0.818E-04 0.287E+00 0.000E+00
  211 0.000E+00 0.000E+00 0.816E-04 0.237E-07 0.816E-04 0.287E+00 0.000E+00
  212 0.000E+00 0.000E+00 0.813E-04 0.222E-07 0.813E-04 0.287E+00 0.000E+00
  213 0.000E+00 0.490E-04 0.811E-04 0.208E-07 0.811E-04 0.287E+00 0.000E+00
  214 0.000E+00 0.946E-04 0.809E-04 0.195E-07 0.809E-04 0.287E+00 0.000E+00
  215 0.000E+00 0.134E-03 0.807E-04 0.183E-07 0.807E-04 0.287E+00 0.000E+00
  216 0.000E+00 0.164E-03 0.805E-04 0.172E-07 0.805E-04 0.287E+00 0.000E+00
  217 0.000E+00 0.181E-03 0.803E-04 0.152E-07 0.803E-04 0.287E+00 0.000E+00
  218 0.000E+00 0.189E-03 0.801E-04 0.142E-07 0.801E-04 0.287E+00 0.000E+00
  219 0.000E+00 0.181E-03 0.799E-04 0.133E-07 0.799E-04 0.287E+00 0.000E+00
  220 0.000E+00 0.164E-03 0.797E-04 0.125E-07 0.797E-04 0.288E+00 0.000E+00
  221 0.000E+00 0.134E-03 0.795E-04 0.118E-07 0.795E-04 0.288E+00 0.000E+00
  222 0.000E+00 0.946E-04 0.793E-04 0.110E-07 0.793E-04 0.288E+00 0.000E+00
