Taegu Pyungkwang River Catchment: Calibration Data

Starting Subcatchment 1
Subcatchment : Extracted study basin: Taegu Pyungkwang River

TL =     5.45
SUMAC =     1.00
SZQ =       0.63446
Subcatchment routing data:
Maximum Routing Delay       0.41667
Sum of Histogram ordinates:     1.0000
     1.00000 
Initial Balance BAL     -0.31784
Initial SBAR             0.31584
Initial SR0              0.00200
it      p        ep       q(it)       quz      q       sbar       qof
146 0.0000e+00 1.5990e-04 9.7678e-05 2.0844e-06 9.7678e-05 2.8102e-01 0.0000e+00
147 0.0000e+00 1.5310e-04 9.7387e-05 1.9434e-06 9.7387e-05 2.8111e-01 0.0000e+00
148 0.0000e+00 1.3840e-04 9.7097e-05 1.8121e-06 9.7097e-05 2.8121e-01 0.0000e+00
149 0.0000e+00 1.1300e-04 9.6808e-05 1.6898e-06 9.6808e-05 2.8130e-01 0.0000e+00
150 0.0000e+00 7.9900e-05 9.6521e-05 1.5759e-06 9.6521e-05 2.8140e-01 0.0000e+00
151 0.0000e+00 3.8700e-05 9.6235e-05 1.4698e-06 9.6235e-05 2.8149e-01 0.0000e+00
152 0.0000e+00 0.0000e+00 9.5950e-05 1.3709e-06 9.5950e-05 2.8159e-01 0.0000e+00
153 0.0000e+00 0.0000e+00 9.5667e-05 1.2788e-06 9.5667e-05 2.8168e-01 0.0000e+00
154 0.0000e+00 0.0000e+00 9.5386e-05 1.1930e-06 9.5386e-05 2.8178e-01 0.0000e+00
155 0.0000e+00 0.0000e+00 9.5105e-05 1.1130e-06 9.5105e-05 2.8187e-01 0.0000e+00
156 0.0000e+00 0.0000e+00 9.4826e-05 1.0384e-06 9.4826e-05 2.8197e-01 0.0000e+00
157 0.0000e+00 0.0000e+00 9.4549e-05 9.6895e-07 9.4549e-05 2.8206e-01 0.0000e+00
158 0.0000e+00 0.0000e+00 9.4273e-05 9.0418e-07 9.4273e-05 2.8215e-01 0.0000e+00
159 0.0000e+00 0.0000e+00 9.3998e-05 8.4380e-07 9.3998e-05 2.8225e-01 0.0000e+00
160 0.0000e+00 0.0000e+00 9.3725e-05 7.8752e-07 9.3725e-05 2.8234e-01 0.0000e+00
161 0.0000e+00 0.0000e+00 9.3453e-05 7.3504e-07 9.3453e-05 2.8243e-01 0.0000e+00
162 0.0000e+00 0.0000e+00 9.3183e-05 6.8611e-07 9.3183e-05 2.8252e-01 0.0000e+00
163 0.0000e+00 0.0000e+00 9.2914e-05 6.4049e-07 9.2914e-05 2.8262e-01 0.0000e+00
164 0.0000e+00 0.0000e+00 9.2646e-05 5.9794e-07 9.2646e-05 2.8271e-01 0.0000e+00
165 0.0000e+00 1.7800e-05 9.2380e-05 5.5826e-07 9.2380e-05 2.8280e-01 0.0000e+00
166 0.0000e+00 3.4400e-05 9.2115e-05 5.2125e-07 9.2115e-05 2.8289e-01 0.0000e+00
167 0.0000e+00 4.8600e-05 9.1852e-05 4.8672e-07 9.1852e-05 2.8298e-01 0.0000e+00
168 0.0000e+00 5.9500e-05 9.1590e-05 4.5452e-07 9.1590e-05 2.8307e-01 0.0000e+00
169 0.0000e+00 6.5900e-05 9.1330e-05 4.2448e-07 9.1330e-05 2.8316e-01 0.0000e+00
170 0.0000e+00 6.8800e-05 9.1071e-05 3.9646e-07 9.1071e-05 2.8326e-01 0.0000e+00
171 0.0000e+00 6.5900e-05 9.0813e-05 3.7031e-07 9.0813e-05 2.8335e-01 0.0000e+00
172 0.0000e+00 5.9500e-05 9.0557e-05 3.4591e-07 9.0557e-05 2.8344e-01 0.0000e+00
173 0.0000e+00 4.8600e-05 9.0302e-05 3.2312e-07 9.0302e-05 2.8353e-01 0.0000e+00
174 0.0000e+00 3.4400e-05 9.0048e-05 3.0188e-07 9.0048e-05 2.8362e-01 0.0000e+00
175 0.0000e+00 1.6600e-05 8.9796e-05 2.8205e-07 8.9796e-05 2.8371e-01 0.0000e+00
176 0.0000e+00 0.0000e+00 8.9545e-05 2.6354e-07 8.9545e-05 2.8379e-01 0.0000e+00
177 0.0000e+00 0.0000e+00 8.9296e-05 2.4626e-07 8.9296e-05 2.8388e-01 0.0000e+00
178 0.0000e+00 0.0000e+00 8.9047e-05 2.3013e-07 8.9047e-05 2.8397e-01 0.0000e+00
179 0.0000e+00 0.0000e+00 8.8801e-05 2.1507e-07 8.8801e-05 2.8406e-01 0.0000e+00
180 0.0000e+00 0.0000e+00 8.8555e-05 2.0099e-07 8.8555e-05 2.8415e-01 0.0000e+00
181 0.0000e+00 0.0000e+00 8.8311e-05 1.8786e-07 8.8311e-05 2.8424e-01 0.0000e+00
182 0.0000e+00 0.0000e+00 8.8068e-05 1.7561e-07 8.8068e-05 2.8433e-01 0.0000e+00
183 0.0000e+00 0.0000e+00 8.7827e-05 1.6416e-07 8.7827e-05 2.8441e-01 0.0000e+00
184 0.0000e+00 0.0000e+00 8.7586e-05 1.5348e-07 8.7586e-05 2.8450e-01 0.0000e+00
185 0.0000e+00 0.0000e+00 8.7347e-05 1.4349e-07 8.7347e-05 2.8459e-01 0.0000e+00
186 0.0000e+00 0.0000e+00 8.7110e-05 1.3403e-07 8.7110e-05 2.8467e-01 0.0000e+00
187 0.0000e+00 0.0000e+00 8.6873e-05 1.2533e-07 8.6873e-05 2.8476e-01 0.0000e+00
188 0.0000e+00 0.0000e+00 8.6638e-05 1.1721e-07 8.6638e-05 2.8485e-01 0.0000e+00
189 0.0000e+00 4.5600e-05 8.6404e-05 1.0962e-07 8.6404e-05 2.8493e-01 0.0000e+00
190 5.0000e-04 8.7900e-05 8.6171e-05 1.0252e-07 8.6171e-05 2.8502e-01 0.0000e+00
